公司名字	一级分类	二级分类	三级分类
北京王小卤网络科技有限公司	产业客户	制造业	
北京百麦食品加工有限公司	产业客户	制造业	
北京睿谷嘉业贸易有限公司	产业客户	贸易业	
北京石油化工工程有限公司	产业客户	建筑业	
北京福田戴姆勒汽车有限公司	产业客户	制造业	
北京秋收私募基金管理有限公司	金融客户	基金	私募基金
北京首农股份有限公司	产业客户	农林牧渔业	
华夏云食（深圳）科技有限公司	产业客户	服务业	
华泰期货有限公司	金融客户	期货	期货公司
华福证券股份有限公司	金融客户	券商	证券公司
华融金融租赁股份有限公司	金融客户	融资租赁	金融租赁
华闻期货有限公司	金融客户	期货	期货公司
华陆工程科技有限责任公司	产业客户	建筑业	
南京市建邺区绿石环境教育服务中心	其他	其他	
南京深业智能科技有限公司	产业客户	服务业	
南华期货股份有限公司	金融客户	期货	期货公司
南方基金管理股份有限公司	金融客户	基金	公募基金
博爱新开源制药有限公司	产业客户	制造业	
厦门国贸农林有限公司	产业客户	农林牧渔业	
厦门象屿农产品有限责任公司	产业客户	贸易业	
双乐颜料股份有限公司	产业客户	制造业	
双胞胎（集团）股份有限公司	产业客户	农林牧渔业	
台塑工业（宁波）有限公司	产业客户	制造业	
哈尔滨大牧人牧业有限公司	产业客户	农林牧渔业	
嘉吉投资（中国）有限公司	产业客户	贸易业	
四川东树新材料有限公司上海分公司	产业客户	制造业	
四川剑南春（集团）有限责任公司	产业客户	制造业	
四川德康农牧食品集团股份有限公司	产业客户	农林牧渔业	
四川正大蛋业有限公司	产业客户	农林牧渔业	
四川水井坊股份有限公司	产业客户	制造业	
国信证券股份有限公司	金融客户	券商	证券公司
国家能源集团科学技术研究院有限公司	产业客户	服务业	
国投期货有限公司	金融客户	期货	期货公司
国泰君安期货有限公司	金融客户	期货	期货公司
国泰海通证券股份有限公司	金融客户	券商	证券公司
国泰海通证券股份有限公司	金融客户	券商	证券公司
国海良时期货有限公司	金融客户	期货	期货公司
国海证券股份有限公司	金融客户	券商	证券公司
国盛证券有限责任公司	金融客户	券商	证券公司
国联期货股份有限公司	金融客户	期货	期货公司
国联民生证券股份有限公司	金融客户	券商	证券公司
国贸期货股份有限公司	金融客户	期货	期货公司
国金证券股份有限公司上海投资咨询分公司	金融客户	券商	证券公司分公司
國票金融控股股份有限公司	其他	其他	
圣奥化学科技有限公司	产业客户	制造业	
圣莱科特精细化工（上海）有限公司	产业客户	制造业	
塞拉尼斯（中国）投资有限公司	产业客户	制造业	
大地期货有限公司	金融客户	期货	期货公司
大连商品交易所	金融客户	商品交易所	商品交易所
天津友发钢管集团股份有限公司	产业客户	制造业	
天风证券股份有限公司海南研究咨询分公司	金融客户	券商	证券公司分公司
奥胜制造（太仓）有限公司	产业客户	制造业	
威士伯（上海）企业管理有限公司	产业客户	服务业	
宁夏宝廷新材料科技股份有限公司	产业客户	制造业	
宁波中科远东催化工程技术有限公司	产业客户	建筑业	
安德里茨（中国）有限公司	产业客户	制造业	
安徽东科新材料有限公司	产业客户	制造业	
安徽荣冠管业科技有限公司	产业客户	制造业	
宏源期货有限公司	金融客户	期货	期货公司
宝武清洁能源有限公司	产业客户	其他	
富宝客户	其他	其他	
富宝账号维护	其他	其他	
富海集团新能源控股有限公司	产业客户	其他	
山东一诺威聚氨酯股份有限公司	产业客户	制造业	
山东万达化工有限公司	产业客户	制造业	
山东京博石油化工有限公司	产业客户	制造业	
山东华鲁恒升化工股份有限公司	产业客户	制造业	
山东卓创资讯股份有限公司	产业客户	服务业	
山东卓创资讯股份有限公司	产业客户	服务业	
山东卓创资讯股份有限公司	产业客户	服务业	
山东宏桥新型材料有限公司	产业客户	制造业	
山东海科化工有限公司	产业客户	制造业	
山东省农业发展信贷担保有限责任公司	其他	其他	
山东美佳集团有限公司	产业客户	制造业	
山东裕龙石化有限公司	产业客户	制造业	
山东钢铁股份有限公司	产业客户	制造业	
山西阳光焦化集团股份有限公司	产业客户	制造业	
工银瑞信基金管理有限公司	金融客户	基金	公募基金
巨星农牧有限公司	产业客户	农林牧渔业	
巨杉（上海）资产管理有限公司	金融客户	基金	私募基金
常州优通精细化学有限公司	产业客户	制造业	
常州市化工轻工材料总公司	产业客户	贸易业	
广东三津食品有限公司	产业客户	制造业	
广东东粤环境科技有限公司	产业客户	服务业	
广东凌丰集团股份有限公司	产业客户	制造业	
广东厚方投资管理有限公司	金融客户	基金	私募基金
广东宇新能源科技股份有限公司	产业客户	制造业	
广东德汇投资管理有限公司	金融客户	基金	私募基金
广东海大集团股份有限公司	产业客户	农林牧渔业	
广东温氏南方家禽育种有限公司	产业客户	农林牧渔业	
广东百味佳味业科技股份有限公司	产业客户	制造业	
广东福百盛股份有限公司	产业客户	制造业	
广东远东高分子科技有限公司	产业客户	制造业	
广发证券股份有限公司上海分公司	金融客户	券商	证券公司分公司
广州久昊能源有限公司	产业客户	贸易业	
广州南顺清洁用品有限公司	产业客户	制造业	
广州市森大贸易有限公司	产业客户	贸易业	
广州恒越日用化工贸易有限公司	产业客户	贸易业	
广州期货交易所股份有限公司	金融客户	商品交易所	期货交易所
广州期货股份有限公司	金融客户	期货	期货公司
广西路桥工程集团有限公司	产业客户	建筑业	
康佳集团股份有限公司	产业客户	制造业	
建信期货有限责任公司	金融客户	期货	期货公司
开源证券股份有限公司上海分公司	金融客户	券商	证券公司分公司
思致投资（海南）有限公司	金融客户	基金	私募基金
惠州市道科包装材料有限公司	产业客户	制造业	
惠生工程（中国）有限公司	产业客户	建筑业	
成都云图控股股份有限公司	产业客户	制造业	
成都劳恩普斯科技有限公司	产业客户	服务业	
成都南玻玻璃有限公司	产业客户	制造业	
成都天府乡村发展集团有限公司	产业客户	其他	
招商银行股份有限公司	金融客户	银行	商业银行
摩科瑞（中国）金属资源有限公司	产业客户	贸易业	
新疆天业股份有限公司	产业客户	制造业	
新疆巨融能源（集团）有限公司	产业客户	其他	
方正中期期货有限公司	金融客户	期货	期货公司
方正证券股份有限公司	金融客户	券商	证券公司
施耐德电气（中国）有限公司	产业客户	制造业	
无锡市丛榕化工产品有限公司	产业客户	贸易业	
旭阳营销有限公司	产业客户	贸易业	
昆仑银行股份有限公司	金融客户	银行	商业银行
昆明天牧农产品有限公司	产业客户	农林牧渔业	
昊华化工有限责任公司	产业客户	制造业	
曲靖市沾益区德方纳米科技有限公司	产业客户	制造业	
杭州润洲私募基金管理有限公司	金融客户	基金	私募基金
杭州秉育企业管理咨询有限公司	产业客户	服务业	
柘城县恒康超市	产业客户	服务业	
格林大华期货有限公司	金融客户	期货	期货公司
正信期货有限公司	金融客户	期货	期货公司
正大投资股份有限公司	产业客户	农林牧渔业	
永安国富资产管理有限公司	金融客户	基金	私募基金
永安期货股份有限公司	金融客户	期货	期货公司
江苏扬农化工集团有限公司	产业客户	制造业	
江苏昌邦安防科技股份有限公司	产业客户	制造业	
江苏盐城源耀饲料有限公司	产业客户	农林牧渔业	
江苏苏博特新材料股份有限公司	产业客户	制造业	
江苏融塑供应链管理服务有限公司	产业客户	服务业	
江西省农业科学院农产品加工研究所	产业客户	服务业	
河北万展星科技有限公司	产业客户	服务业	
河北晶达包装材料有限公司	产业客户	制造业	
河南心连心化学工业集团股份有限公司	产业客户	制造业	
泰柯棕化（张家港）有限公司	产业客户	制造业	
洽洽食品股份有限公司	产业客户	制造业	
测试	其他	其他	
浙商期货有限公司上海分公司	金融客户	期货	期货公司分公司
浙商证券股份有限公司	金融客户	券商	证券公司
浙江信汇新材料股份有限公司	产业客户	制造业	
浙江医药股份有限公司	产业客户	制造业	
浙江卫星化学实业有限公司	产业客户	制造业	
浙江杭实善成实业有限公司	产业客户	贸易业	
浙江汇丰设备租赁有限公司	产业客户	服务业	
浙江浙银金融租赁股份有限公司	金融客户	融资租赁	金融租赁
浙江金榕树投资管理有限公司	金融客户	基金	私募基金
海南山海私募基金合伙企业（有限合伙）	金融客户	基金	私募基金
海南时代共赢私募基金管理合伙企业（有限合伙）	金融客户	基金	私募基金
海证期货有限公司	金融客户	期货	期货公司
海通期货股份有限公司	金融客户	期货	期货公司
淄博旭欧贸易有限公司	产业客户	贸易业	
深圳TCL新技术有限公司	产业客户	制造业	
深圳光大同创新材料股份有限公司	产业客户	制造业	
深圳市凯丰投资管理有限公司	金融客户	基金	私募基金
深圳市安德广企业管理合伙企业（有限合伙）	金融客户	基金	私募基金
深圳市裕同包装科技股份有限公司	产业客户	制造业	
深圳市财富趋势科技股份有限公司	产业客户	服务业	
温氏食品集团股份有限公司	产业客户	农林牧渔业	
湖北劲牌保健酒业有限公司	产业客户	制造业	
湖南新融达房地产土地资产评估有限公司	产业客户	服务业	
湖南盟盟国际贸易有限公司	产业客户	贸易业	
湖南麻辣王子食品有限公司	产业客户	制造业	
滨化集团股份有限公司	产业客户	制造业	
潞安化工集团有限公司	产业客户	制造业	
烟台中宠食品股份有限公司	产业客户	制造业	
烟台市牟平区东明化工有限公司	产业客户	制造业	
物产中大化工集团有限公司	产业客户	贸易业	
玉湖易采供应链（深圳）有限公司	产业客户	贸易业	
玛氏箭牌糖果（中国）有限公司	产业客户	制造业	
现代牧业（集团）有限公司	产业客户	农林牧渔业	
盈德气体（上海）有限公司	产业客户	制造业	
益海嘉里金龙鱼食品集团股份有限公司	产业客户	制造业	
盒马（中国）有限公司	产业客户	服务业	
石景涛	个人客户	个人客户	个人客户
石油和化学工业规划院	产业客户	服务业	
神华工程技术有限公司安徽分公司	产业客户	建筑业	
福建科宏生物工程股份有限公司	产业客户	制造业	
福建联合石油化工有限公司	产业客户	制造业	
科氏晟腾贸易（上海）有限公司	产业客户	贸易业	
秦皇岛天鼎化工有限公司	产业客户	制造业	
立华彩印（昆山）有限公司	产业客户	制造业	
立邦投资有限公司	产业客户	制造业	
紫金天风期货股份有限公司	金融客户	期货	期货公司
统一企业（中国）投资有限公司	产业客户	制造业	
美乐家（中国）日用品有限公司	产业客户	贸易业	
美国银行美林证券	金融客户	券商	外资券商
联合利华（中国）有限公司	产业客户	制造业	
联想（深圳）电子有限公司	产业客户	制造业	
肇庆市哈力化工有限公司	产业客户	制造业	
股票	其他	其他	
臺灣塑膠工業股份有限公司	产业客户	制造业	
艾仕得涂料系统（上海）有限公司	产业客户	制造业	
苏州富士莱医药股份有限公司	产业客户	制造业	
苏州市恒顺纸塑有限公司	产业客户	制造业	
荣盛石化销售有限公司	产业客户	贸易业	
荷美尔（中国）投资有限公司	产业客户	制造业	
营销管理部	其他	其他	
营销管理部	其他	其他	
西安禾丰饲料科技有限公司	产业客户	农林牧渔业	
西安陕鼓动力股份有限公司	产业客户	制造业	
西部证券股份有限公司	金融客户	券商	证券公司
诚泰信息科技（天津）有限公司	产业客户	服务业	
诺维信（中国）投资有限公司	产业客户	制造业	
谷雨生物科技集团股份有限公司	产业客户	制造业	
贝莱德资产管理北亚有限公司	金融客户	基金	私募投资集团
财达证券股份有限公司	金融客户	券商	证券公司
财通基金管理有限公司	金融客户	基金	公募基金
财通证券股份有限公司	金融客户	券商	证券公司
达利食品集团有限公司	产业客户	制造业	
达能（中国）食品饮料有限公司	产业客户	制造业	
远东国际融资租赁有限公司	金融客户	融资租赁	融资租赁
远景能源有限公司	产业客户	制造业	
郑州全新食品有限公司	产业客户	制造业	
郑州商品交易所	金融客户	商品交易所	商品交易所
重庆富源化工有限公司	产业客户	制造业	
重庆百亚卫生用品股份有限公司	产业客户	制造业	
重庆金科房地产开发有限公司	产业客户	建筑业	
金发科技股份有限公司	产业客户	制造业	
银河期货有限公司	金融客户	期货	期货公司
长兴化学工业（中国）有限公司	产业客户	制造业	
长城证券股份有限公司	金融客户	券商	证券公司
长城证券股份有限公司上海分公司	金融客户	券商	证券公司分公司
长江证券股份有限公司	金融客户	券商	证券公司
陕西化工集团有限公司	产业客户	制造业	
陕西外经贸化工有限公司	产业客户	贸易业	
陕西延长石油（集团）有限责任公司	产业客户	采矿业	
陕西观策锐见文化传媒有限公司	产业客户	服务业	
隆基绿能科技股份有限公司	产业客户	制造业	
雅图高新材料股份有限公司	产业客户	制造业	
青岛南国南国际贸易有限公司	产业客户	贸易业	
青岛国投融发供应链有限公司	产业客户	贸易业	
青岛海大生物集团股份有限公司	产业客户	制造业	
青岛科技大学资产经营有限公司	产业客户	服务业	
青岛速派橡胶科技有限公司	产业客户	制造业	
青岛驿达天下物流有限公司	产业客户	服务业	
青岛鼎信通讯股份有限公司	产业客户	制造业	
顶峰油脂化工（泰兴）有限公司	产业客户	制造业	
鲁西化工集团股份有限公司	产业客户	制造业	
齐鲁制药有限公司	产业客户	制造业	
